system:index,count,.geo
2002_04_01_0,0,"{""type"":""Polygon"",""coordinates"":[[[-80.085013090379,54.51485948757966],[-82.721731840379,45.5142330216639],[-82.897513090379,42.22057951473038],[-79.557669340379,43.12523804096085],[-76.569388090379,43.89016779335855],[-73.75688809037901,44.89498490853269],[-70.944388090379,45.14349306417887],[-69.186575590379,47.68775890562302],[-67.428763090379,45.39092265983063],[-66.901419340379,44.52020038382247],[-65.143606840379,43.253399413892794],[-60.573294340379,45.5142330216639],[-50.55376309037899,48.041543588990834],[-57.760794340379,59.12536279402005],[-75.163138090379,64.50602978671496],[-82.018606840379,59.83942963646645],[-80.085013090379,54.51485948757966]]]}"
2002_05_01_0,0,"{""type"":""Polygon"",""coordinates"":[[[-80.085013090379,54.51485948757966],[-82.721731840379,45.5142330216639],[-82.897513090379,42.22057951473038],[-79.557669340379,43.12523804096085],[-76.569388090379,43.89016779335855],[-73.75688809037901,44.89498490853269],[-70.944388090379,45.14349306417887],[-69.186575590379,47.68775890562302],[-67.428763090379,45.39092265983063],[-66.901419340379,44.52020038382247],[-65.143606840379,43.253399413892794],[-60.573294340379,45.5142330216639],[-50.55376309037899,48.041543588990834],[-57.760794340379,59.12536279402005],[-75.163138090379,64.50602978671496],[-82.018606840379,59.83942963646645],[-80.085013090379,54.51485948757966]]]}"
2002_06_01_0,641,"{""type"":""Polygon"",""coordinates"":[[[-80.085013090379,54.51485948757966],[-82.721731840379,45.5142330216639],[-82.897513090379,42.22057951473038],[-79.557669340379,43.12523804096085],[-76.569388090379,43.89016779335855],[-73.75688809037901,44.89498490853269],[-70.944388090379,45.14349306417887],[-69.186575590379,47.68775890562302],[-67.428763090379,45.39092265983063],[-66.901419340379,44.52020038382247],[-65.143606840379,43.253399413892794],[-60.573294340379,45.5142330216639],[-50.55376309037899,48.041543588990834],[-57.760794340379,59.12536279402005],[-75.163138090379,64.50602978671496],[-82.018606840379,59.83942963646645],[-80.085013090379,54.51485948757966]]]}"
2002_07_01_0,54824,"{""type"":""Polygon"",""coordinates"":[[[-80.085013090379,54.51485948757966],[-82.721731840379,45.5142330216639],[-82.897513090379,42.22057951473038],[-79.557669340379,43.12523804096085],[-76.569388090379,43.89016779335855],[-73.75688809037901,44.89498490853269],[-70.944388090379,45.14349306417887],[-69.186575590379,47.68775890562302],[-67.428763090379,45.39092265983063],[-66.901419340379,44.52020038382247],[-65.143606840379,43.253399413892794],[-60.573294340379,45.5142330216639],[-50.55376309037899,48.041543588990834],[-57.760794340379,59.12536279402005],[-75.163138090379,64.50602978671496],[-82.018606840379,59.83942963646645],[-80.085013090379,54.51485948757966]]]}"
2002_08_01_0,50,"{""type"":""Polygon"",""coordinates"":[[[-80.085013090379,54.51485948757966],[-82.721731840379,45.5142330216639],[-82.897513090379,42.22057951473038],[-79.557669340379,43.12523804096085],[-76.569388090379,43.89016779335855],[-73.75688809037901,44.89498490853269],[-70.944388090379,45.14349306417887],[-69.186575590379,47.68775890562302],[-67.428763090379,45.39092265983063],[-66.901419340379,44.52020038382247],[-65.143606840379,43.253399413892794],[-60.573294340379,45.5142330216639],[-50.55376309037899,48.041543588990834],[-57.760794340379,59.12536279402005],[-75.163138090379,64.50602978671496],[-82.018606840379,59.83942963646645],[-80.085013090379,54.51485948757966]]]}"
2002_09_01_0,49,"{""type"":""Polygon"",""coordinates"":[[[-80.085013090379,54.51485948757966],[-82.721731840379,45.5142330216639],[-82.897513090379,42.22057951473038],[-79.557669340379,43.12523804096085],[-76.569388090379,43.89016779335855],[-73.75688809037901,44.89498490853269],[-70.944388090379,45.14349306417887],[-69.186575590379,47.68775890562302],[-67.428763090379,45.39092265983063],[-66.901419340379,44.52020038382247],[-65.143606840379,43.253399413892794],[-60.573294340379,45.5142330216639],[-50.55376309037899,48.041543588990834],[-57.760794340379,59.12536279402005],[-75.163138090379,64.50602978671496],[-82.018606840379,59.83942963646645],[-80.085013090379,54.51485948757966]]]}"
2002_10_01_0,0,"{""type"":""Polygon"",""coordinates"":[[[-80.085013090379,54.51485948757966],[-82.721731840379,45.5142330216639],[-82.897513090379,42.22057951473038],[-79.557669340379,43.12523804096085],[-76.569388090379,43.89016779335855],[-73.75688809037901,44.89498490853269],[-70.944388090379,45.14349306417887],[-69.186575590379,47.68775890562302],[-67.428763090379,45.39092265983063],[-66.901419340379,44.52020038382247],[-65.143606840379,43.253399413892794],[-60.573294340379,45.5142330216639],[-50.55376309037899,48.041543588990834],[-57.760794340379,59.12536279402005],[-75.163138090379,64.50602978671496],[-82.018606840379,59.83942963646645],[-80.085013090379,54.51485948757966]]]}"
2002_11_01_0,0,"{""type"":""Polygon"",""coordinates"":[[[-80.085013090379,54.51485948757966],[-82.721731840379,45.5142330216639],[-82.897513090379,42.22057951473038],[-79.557669340379,43.12523804096085],[-76.569388090379,43.89016779335855],[-73.75688809037901,44.89498490853269],[-70.944388090379,45.14349306417887],[-69.186575590379,47.68775890562302],[-67.428763090379,45.39092265983063],[-66.901419340379,44.52020038382247],[-65.143606840379,43.253399413892794],[-60.573294340379,45.5142330216639],[-50.55376309037899,48.041543588990834],[-57.760794340379,59.12536279402005],[-75.163138090379,64.50602978671496],[-82.018606840379,59.83942963646645],[-80.085013090379,54.51485948757966]]]}"
2002_12_01_0,0,"{""type"":""Polygon"",""coordinates"":[[[-80.085013090379,54.51485948757966],[-82.721731840379,45.5142330216639],[-82.897513090379,42.22057951473038],[-79.557669340379,43.12523804096085],[-76.569388090379,43.89016779335855],[-73.75688809037901,44.89498490853269],[-70.944388090379,45.14349306417887],[-69.186575590379,47.68775890562302],[-67.428763090379,45.39092265983063],[-66.901419340379,44.52020038382247],[-65.143606840379,43.253399413892794],[-60.573294340379,45.5142330216639],[-50.55376309037899,48.041543588990834],[-57.760794340379,59.12536279402005],[-75.163138090379,64.50602978671496],[-82.018606840379,59.83942963646645],[-80.085013090379,54.51485948757966]]]}"
2003_01_01_0,0,"{""type"":""Polygon"",""coordinates"":[[[-80.085013090379,54.51485948757966],[-82.721731840379,45.5142330216639],[-82.897513090379,42.22057951473038],[-79.557669340379,43.12523804096085],[-76.569388090379,43.89016779335855],[-73.75688809037901,44.89498490853269],[-70.944388090379,45.14349306417887],[-69.186575590379,47.68775890562302],[-67.428763090379,45.39092265983063],[-66.901419340379,44.52020038382247],[-65.143606840379,43.253399413892794],[-60.573294340379,45.5142330216639],[-50.55376309037899,48.041543588990834],[-57.760794340379,59.12536279402005],[-75.163138090379,64.50602978671496],[-82.018606840379,59.83942963646645],[-80.085013090379,54.51485948757966]]]}"
